feature,mean_abs_increase_in_MAE,std,model
yield_lag1_t_ha,0.12376378912333005,0.021081502045883077,ridge
temp_winter_C,0.007938253891114739,0.008968971150795426,ridge
precip_spring_mm,0.007034526962604976,0.0034748448407039344,ridge
temp_spring_C,0.005083668473148445,0.015554063521171673,ridge
year,0.00260562261076257,0.001759391055109896,ridge
precip_winter_mm,-0.00045793256817242,0.006397647417512827,ridge
sun_spring_h,-0.036720227599097516,0.012394612551800544,ridge
yield_lag1_t_ha,0.15000302564102488,0.03272428527343975,random_forest
temp_winter_C,0.018960192307691866,0.01272455919673917,random_forest
precip_winter_mm,0.008177423076923129,0.01012449868807921,random_forest
year,5.551115123125783e-17,1.0235750533041807e-16,random_forest
temp_spring_C,-0.008254974358974126,0.027622844424234114,random_forest
precip_spring_mm,-0.017770038461537675,0.024832410458643688,random_forest
sun_spring_h,-0.017896974358972296,0.011819207019091454,random_forest
